AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2014.01.04 00:00,AUDUSD,60,86400,BUY,ZC,1,0.89427,0.88427,1000.0,0.90042,0.88847,1195.0,119.500,42.00,580.0,236.0,0.89427,0.88847,0.90622,BOUNCE,2014.01.13 13:00,1,2014.01.15 04:00,1,2014.01.16 03:00,1,2014.01.16 11:00,3,2d 22h,NewYork,NA,,NA,,0.87847,BREAK,2014.01.16 11:00,0,,0,,0,,0,NA,London,BREAK,2014.01.24 08:00,BOUNCE,2014.01.27 06:00,0.90007,BREAK,2014.01.10 22:00,0,,0,,0,,0,NA,Other,BREAK,2014.01.13 17:00,UNTOUCHED,,0.88267,BOUNCE,2014.01.16 03:00,1,2014.02.11 04:00,1,2014.02.11 04:00,0,,2,3w 5d,Asia,NA,,NA,,,,,,,,,,,,S-ZF-BR,S-ZC-BR,B-ZF-BR,S-ZF-BR,S-ZB-BR,S-ZB-BO,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO
2,2014.01.08 00:00,AUDUSD,60,86400,SELL,ZF,1,0.89822,0.89348,474.0,0.89708,0.88934,774.0,163.291,24.05,360.0,111.9,0.89708,0.89348,0.88574,BREAK,2014.01.16 03:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.16 04:00,BOUNCE,2014.01.16 23:00,0.90182,BREAK,2014.01.13 04:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.13 13:00,UNTOUCHED,,0.88988,BREAK,2014.01.08 20:00,0,,0,,0,,0,NA,NewYork,BREAK,2014.01.16 03:00,BREAK,2014.01.16 04:00,0.90068,BREAK,2014.01.13 02:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.13 13:00,BOUNCE,2014.01.14 03:00,B-ZC-BO,,,,,,,,,,S-ZC-BR,B-ZF-BR,S-ZF-BR,S-ZB-BR,S-ZB-BO,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN
3,2014.01.10 00:00,AUDUSD,60,86400,SELL,ZC,1,0.89518,0.88966,552.0,0.89148,0.88646,502.0,90.942,67.03,182.0,130.3,0.89148,0.88966,0.88464,BREAK,2014.01.16 03:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.16 04:00,BREAK,2014.01.16 10:00,0.89700,BOUNCE,2014.01.10 17:00,1,2014.01.15 05:00,1,2014.01.16 03:00,1,2014.01.16 03:00,3,5d 10h,NewYork,NA,,NA,,0.88784,BOUNCE,2014.01.10 03:00,1,2014.01.10 16:00,1,2014.01.10 17:00,0,,2,14h,Asia,NA,,NA,,0.89330,BREAK,2014.01.10 16:00,0,,0,,0,,0,NA,NewYork,BREAK,2014.01.10 17:00,BREAK,2014.01.10 18:00,S-ZF-BR,B-ZC-BO,,,,,,,,,B-ZF-BR,S-ZF-BR,S-ZB-BR,S-ZB-BO,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR
4,2014.01.11 00:00,AUDUSD,60,86400,BUY,ZF,1,0.89148,0.88646,502.0,0.90047,0.88754,1293.0,257.570,21.51,394.0,118.5,0.89148,0.88754,0.90441,BREAK,2014.01.13 11:00,0,,0,,0,,0,NA,London,BOUNCE,2014.01.14 03:00,NA,,0.88252,BREAK,2014.01.16 03:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.01.17 01:00,NA,,0.89542,BREAK,2014.01.11 00:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.13 02:00,BREAK,2014.01.13 11:00,0.88360,BREAK,2014.01.16 03:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.16 11:00,BOUNCE,2014.01.20 05:00,S-ZC-BR,S-ZF-BR,B-ZC-BO,,,,,,,,S-ZF-BR,S-ZB-BR,S-ZB-BO,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO
5,2014.01.15 00:00,AUDUSD,60,86400,SELL,ZF,0,0.90857,0.89850,1007.0,0.90613,0.89551,1062.0,105.462,24.23,763.0,237.7,0.90613,0.89850,0.88788,BREAK,2014.01.16 03:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.16 11:00,BREAK,2014.01.24 08:00,0.91620,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.89087,BREAK,2014.01.15 10:00,0,,0,,0,,0,NA,London,BREAK,2014.01.16 04:00,BREAK,2014.01.23 20:00,0.91376,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZF-BR,S-ZC-BR,S-ZF-BR,B-ZC-BO,,,,,,,S-ZB-BR,S-ZB-BO,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO,S-ZD-BR
6,2014.01.17 00:00,AUDUSD,60,86400,SELL,ZB,1,0.89702,0.88873,829.0,0.89177,0.87762,1415.0,170.688,63.33,304.0,195.6,0.89177,0.88873,0.87458,BREAK,2014.01.23 20:00,0,,0,,0,,0,NA,NewYork,BREAK,2014.01.24 08:00,BREAK,2014.01.24 13:00,0.90006,BREAK,2014.02.11 04:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.02.11 16:00,NA,,0.88569,BREAK,2014.01.17 00:00,0,,0,,0,,0,NA,Asia,BREAK,2014.01.17 05:00,BREAK,2014.01.17 18:00,0.89481,BREAK,2014.02.06 03:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.02.06 11:00,NA,,S-ZF-BR,B-ZF-BR,S-ZC-BR,S-ZF-BR,B-ZC-BO,,,,,,S-ZB-BO,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO,S-ZD-BR,B-ZB-BO
7,2014.01.18 00:00,AUDUSD,60,86400,SELL,ZB,1,0.89177,0.87762,1415.0,0.88281,0.87630,651.0,46.007,63.32,519.0,333.9,0.88281,0.87762,0.87111,BOUNCE,2014.01.24 07:00,1,2014.01.28 12:00,1,2014.02.04 07:00,1,2014.02.06 03:00,3,1w 5d,London,NA,,NA,,0.89696,BOUNCE,2014.02.06 03:00,0,,0,,0,,0,NA,Asia,NA,,NA,,0.87243,BREAK,2014.01.24 07:00,0,,0,,0,,0,NA,London,BOUNCE,2014.01.27 06:00,NA,,0.88800,BOUNCE,2014.01.22 10:00,1,2014.01.24 07:00,1,2014.01.24 07:00,0,,2,1d 21h,London,NA,,NA,,S-ZB-BR,S-ZF-BR,B-ZF-BR,S-ZC-BR,S-ZF-BR,B-ZC-BO,,,,,B-ZO-BO,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO,S-ZD-BR,B-ZB-BO,B-ZC-BR
8,2014.01.22 00:00,AUDUSD,60,86400,BUY,ZO,0,0.88204,0.87564,640.0,0.88372,0.87753,619.0,96.719,29.53,451.0,151.0,0.88204,0.87753,0.88823,BOUNCE,2014.01.22 10:00,1,2014.01.23 05:00,1,2014.01.24 07:00,1,2014.01.24 07:00,3,1d 21h,London,NA,,NA,,0.87113,BOUNCE,2014.01.24 07:00,1,2014.01.28 11:00,1,2014.02.04 07:00,1,2014.02.04 07:00,3,1w 4d,London,NA,,NA,,0.88655,BOUNCE,2014.01.22 03:00,1,2014.01.24 07:00,1,2014.01.24 07:00,0,,2,2d 4h,Asia,NA,,NA,,0.87302,BREAK,2014.01.24 07:00,0,,0,,0,,0,NA,London,BREAK,2014.01.24 13:00,UNTOUCHED,,S-ZB-BO,S-ZB-BR,S-ZF-BR,B-ZF-BR,S-ZC-BR,S-ZF-BR,B-ZC-BO,,,,S-ZF-BO,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO,S-ZD-BR,B-ZB-BO,B-ZC-BR,B-ZF-BO
9,2014.01.24 00:00,AUDUSD,60,86400,SELL,ZF,0,0.88873,0.87866,1007.0,0.88553,0.87314,1239.0,123.039,31.78,687.0,237.7,0.88553,0.87866,0.86627,BOUNCE,2014.01.24 14:00,1,2014.01.28 11:00,1,2014.02.04 19:00,1,2014.02.06 03:00,3,1w 5d,NewYork,NA,,NA,,0.89560,BREAK,2014.02.06 03:00,0,,0,,0,,0,NA,Asia,BREAK,2014.02.12 05:00,BREAK,2014.03.07 11:00,0.87179,BREAK,2014.01.24 07:00,0,,0,,0,,0,NA,London,UNTOUCHED,,NA,,0.89240,BREAK,2014.02.04 19:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2014.02.10 10:00,NA,,B-ZO-BO,S-ZB-BO,S-ZB-BR,S-ZF-BR,B-ZF-BR,S-ZC-BR,S-ZF-BR,B-ZC-BO,,,S-ZB-UN,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO,S-ZD-BR,B-ZB-BO,B-ZC-BR,B-ZF-BO,S-ZD-BO
10,2014.01.25 00:00,AUDUSD,60,86400,SELL,ZB,1,0.88553,0.87314,1239.0,0.87747,0.86598,1149.0,92.736,65.05,433.0,292.4,0.87747,0.87314,0.86165,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.88986,BREAK,2014.02.04 10:00,0,,0,,0,,0,NA,London,BREAK,2014.02.06 03:00,BOUNCE,2014.02.07 16:00,0.86881,BOUNCE,2014.01.25 00:00,1,2014.01.28 12:00,1,2014.02.04 10:00,0,,2,1w 3d,Asia,NA,,NA,,0.88180,BOUNCE,2014.01.28 12:00,0,,0,,0,,0,NA,London,NA,,NA,,S-ZF-BO,B-ZO-BO,S-ZB-BO,S-ZB-BR,S-ZF-BR,B-ZF-BR,S-ZC-BR,S-ZF-BR,B-ZC-BO,,B-ZB-BO,S-ZO-UN,B-ZB-BR,B-ZG-BO,S-ZD-BR,B-ZB-BO,B-ZC-BR,B-ZF-BO,S-ZD-BO,S-ZE-BO
