AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2010.11.05 00:00,EURJPY,60,86400,SELL,ZF,0,115.409,114.034,1375.0,115.034,113.890,1144.0,83.200,0.00,1000.0,324.5,115.034,114.034,112.890,BREAK,2010.11.08 12:00,0,,0,,0,,0,NA,London,BOUNCE,2010.11.09 22:00,NA,,116.409,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,113.034,BREAK,2010.11.08 05:00,0,,0,,0,,0,NA,Asia,BOUNCE,2010.11.10 14:00,NA,,116.034,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,,,,,,,,,,,S-ZC-BO,B-ZF-BO,S-ZO-BR,S-ZF-BO,B-ZB-BR,B-ZD-BO,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR
2,2010.11.09 00:00,EURJPY,60,86400,SELL,ZC,1,114.287,112.654,1633.0,113.086,111.712,1374.0,84.140,0.00,432.0,385.4,113.086,112.654,111.280,BOUNCE,2010.11.12 10:00,1,2010.11.12 13:00,1,2010.11.15 04:00,1,2010.11.22 03:00,3,1w 2d,London,NA,,NA,,114.719,BOUNCE,2010.11.22 03:00,1,2010.11.22 16:00,1,2010.11.23 17:00,1,2010.11.23 18:00,3,1d 15h,Asia,NA,,NA,,112.222,BOUNCE,2010.11.12 02:00,1,2010.11.15 04:00,1,2010.11.22 03:00,0,,2,1w 3d,Asia,NA,,NA,,113.518,BOUNCE,2010.11.10 16:00,1,2010.11.12 02:00,1,2010.11.12 02:00,0,,2,1d 10h,NewYork,NA,,NA,,S-ZF-BR,,,,,,,,,,B-ZF-BO,S-ZO-BR,S-ZF-BO,B-ZB-BR,B-ZD-BO,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO
3,2010.11.10 00:00,EURJPY,60,86400,BUY,ZF,0,113.086,111.712,1374.0,113.777,112.223,1554.0,113.100,0.00,863.0,324.3,113.086,112.223,114.640,BOUNCE,2010.11.22 02:00,1,2010.11.23 15:00,1,2010.11.23 17:00,1,2010.11.23 19:00,3,1d 17h,Asia,NA,,NA,,110.849,BOUNCE,2010.11.23 19:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,113.949,BREAK,2010.11.18 20:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2010.11.22 16:00,NA,,111.360,BOUNCE,2010.11.12 10:00,1,2010.11.18 20:00,1,2010.11.18 20:00,0,,2,6d 10h,London,NA,,NA,,S-ZC-BO,S-ZF-BR,,,,,,,,,S-ZO-BR,S-ZF-BO,B-ZB-BR,B-ZD-BO,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN
4,2010.11.12 00:00,EURJPY,60,86400,SELL,ZO,1,113.526,112.509,1017.0,113.377,111.039,2338.0,229.892,0.00,868.0,240.0,113.377,112.509,110.171,BREAK,2010.11.30 07:00,0,,0,,0,,0,NA,London,BREAK,2010.11.30 13:00,BOUNCE,2010.12.01 11:00,114.394,BREAK,2010.11.22 02:00,0,,0,,0,,0,NA,Asia,UNTOUCHED,,NA,,111.641,BREAK,2010.11.23 17:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2010.11.24 03:00,NA,,114.245,BREAK,2010.11.19 13:00,0,,0,,0,,0,NA,NewYork,UNTOUCHED,,NA,,B-ZF-BO,S-ZC-BO,S-ZF-BR,,,,,,,,S-ZF-BO,B-ZB-BR,B-ZD-BO,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO
5,2010.11.16 00:00,EURJPY,60,86400,SELL,ZF,0,113.628,112.587,1041.0,113.424,112.261,1163.0,111.720,0.00,837.0,245.7,113.424,112.587,111.424,BOUNCE,2010.11.23 17:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,114.465,BREAK,2010.11.22 02:00,0,,0,,0,,0,NA,Asia,UNTOUCHED,,NA,,111.750,BREAK,2010.11.23 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2010.11.24 12:00,BREAK,2010.11.30 11:00,114.261,BREAK,2010.11.19 14:00,0,,0,,0,,0,NA,NewYork,UNTOUCHED,,NA,,S-ZO-BR,B-ZF-BO,S-ZC-BO,S-ZF-BR,,,,,,,B-ZB-BR,B-ZD-BO,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO,B-ZB-BO
6,2010.11.18 00:00,EURJPY,60,86400,BUY,ZB,1,112.776,112.289,487.0,114.078,112.479,1599.0,328.337,0.00,297.0,114.9,112.776,112.479,114.375,BREAK,2010.11.22 02:00,0,,0,,0,,0,NA,Asia,BREAK,2010.11.22 03:00,UNTOUCHED,,111.992,BREAK,2010.11.23 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2010.11.23 18:00,BREAK,2010.11.23 19:00,113.073,BREAK,2010.11.19 00:00,0,,0,,0,,0,NA,Asia,BREAK,2010.11.19 01:00,BREAK,2010.11.19 02:00,112.182,BREAK,2010.11.23 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2010.11.23 18:00,BREAK,2010.11.23 19:00,S-ZF-BO,S-ZO-BR,B-ZF-BO,S-ZC-BO,S-ZF-BR,,,,,,B-ZD-BO,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO,B-ZB-BO,B-ZO-UN
7,2010.11.19 00:00,EURJPY,60,86400,BUY,ZD,1,114.078,112.479,1599.0,114.299,113.518,781.0,48.843,0.00,560.0,377.4,114.078,113.518,114.859,BOUNCE,2010.11.22 10:00,1,2010.11.22 16:00,1,2010.11.23 04:00,1,2010.11.23 17:00,3,1d 7h,London,NA,,NA,,111.919,BREAK,2010.11.23 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2010.11.23 19:00,BOUNCE,2010.11.24 02:00,114.638,BOUNCE,2010.11.22 02:00,1,2010.11.23 04:00,1,2010.11.23 17:00,0,,2,1d 15h,Asia,NA,,NA,,112.958,BOUNCE,2010.11.23 04:00,0,,0,,0,,0,NA,Asia,NA,,NA,,B-ZB-BR,S-ZF-BO,S-ZO-BR,B-ZF-BO,S-ZC-BO,S-ZF-BR,,,,,S-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO,B-ZB-BO,B-ZO-UN,S-ZC-BR
8,2010.11.23 00:00,EURJPY,60,86400,SELL,ZD,1,114.933,113.248,1685.0,113.655,110.740,2915.0,172.997,0.00,407.0,397.7,113.655,113.248,110.333,BOUNCE,2010.11.24 12:00,1,2010.11.24 14:00,0,,0,,1,2h,London,NA,,NA,,115.340,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,112.841,BREAK,2010.11.24 00:00,0,,0,,0,,0,NA,Asia,BREAK,2010.11.24 01:00,BREAK,2010.11.24 02:00,114.062,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZO-BR,B-ZF-BO,S-ZC-BO,S-ZF-BR,,,,S-ZE-BR,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO,B-ZB-BO,B-ZO-UN,S-ZC-BR,B-ZE-BO
9,2010.11.24 00:00,EURJPY,60,86400,SELL,ZE,1,113.655,110.740,2915.0,111.762,110.307,1455.0,49.914,0.00,1022.0,687.9,111.762,110.740,109.285,BREAK,2010.11.30 12:00,0,,0,,0,,0,NA,London,BOUNCE,2011.01.04 05:00,NA,,114.677,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,109.718,BREAK,2010.11.30 11:00,0,,0,,0,,0,NA,London,BOUNCE,2010.12.01 11:00,NA,,112.784,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZD-BO,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZO-BR,B-ZF-BO,S-ZC-BO,S-ZF-BR,,,B-ZC-UN,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO,B-ZB-BO,B-ZO-UN,S-ZC-BR,B-ZE-BO,S-ZH-BR
10,2010.11.25 00:00,EURJPY,60,86400,BUY,ZC,1,111.762,110.307,1455.0,111.907,111.006,901.0,61.924,0.00,756.0,343.4,111.762,111.006,112.663,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,109.551,BREAK,2010.11.30 12:00,0,,0,,0,,0,NA,London,BREAK,2010.11.30 16:00,BREAK,2010.12.28 19:00,112.518,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,110.250,BREAK,2010.11.29 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2010.11.30 13:00,BREAK,2010.11.30 17:00,S-ZE-BR,S-ZD-BO,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZO-BR,B-ZF-BO,S-ZC-BO,S-ZF-BR,,S-ZG-BR,S-ZB-BO,B-ZG-UN,B-ZD-BO,B-ZB-BO,B-ZO-UN,S-ZC-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR
