AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,1999.11.08 02:00,EURUSD,60,86400,BUY,ZB,1,1.04340,1.03610,730.0,1.04570,1.04130,440.0,60.274,71.23,210.0,172.3,1.04340,1.04130,1.04780,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03400,BREAK,1999.11.12 15:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.11.12 16:00,BOUNCE,1999.11.15 18:00,1.04550,BOUNCE,1999.11.08 06:00,1,1999.11.08 16:00,1,1999.11.12 15:00,0,,2,4d 9h,Asia,NA,,NA,,1.03920,BOUNCE,1999.11.08 16:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,,,,,,,,,,,B-ZF-UN,B-ZO-UN,S-ZB-BO,B-ZO-BR,S-ZG-BR,S-ZE-BR,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN
2,1999.11.11 00:00,EURUSD,60,86400,BUY,ZF,0,1.04330,1.03630,700.0,1.04540,1.03890,650.0,92.857,37.14,440.0,165.2,1.04330,1.03890,1.04980,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03190,BOUNCE,1999.11.12 15:00,1,1999.11.17 11:00,0,,0,,1,4d 20h,NewYork,NA,,NA,,1.04770,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03450,BREAK,1999.11.12 15:00,0,,0,,0,,0,NA,NewYork,BOUNCE,1999.11.15 09:00,NA,,B-ZB-UN,,,,,,,,,,B-ZO-UN,S-ZB-BO,B-ZO-BR,S-ZG-BR,S-ZE-BR,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN
3,1999.11.12 00:00,EURUSD,60,86400,BUY,ZO,0,1.04540,1.03890,650.0,1.04550,1.03920,630.0,96.923,4.62,620.0,153.4,1.04540,1.03920,1.05170,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03270,BREAK,1999.11.12 15:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.11.19 16:00,BREAK,1999.11.24 19:00,1.05160,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03300,BREAK,1999.11.12 15:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.11.19 16:00,BREAK,1999.11.24 19:00,B-ZF-UN,B-ZB-UN,,,,,,,,,S-ZB-BO,B-ZO-BR,S-ZG-BR,S-ZE-BR,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO
4,1999.11.13 00:00,EURUSD,60,86400,SELL,ZB,1,1.04550,1.03920,630.0,1.04150,1.02890,1260.0,200.000,63.49,230.0,148.7,1.04150,1.03920,1.02660,BOUNCE,1999.11.18 20:00,1,1999.11.19 03:00,0,,0,,1,7h,NewYork,NA,,NA,,1.04780,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03690,BREAK,1999.11.13 00:00,0,,0,,0,,0,NA,Asia,BREAK,1999.11.13 01:00,BREAK,1999.11.15 12:00,1.04380,BOUNCE,1999.11.17 11:00,1,1999.11.18 15:00,1,1999.11.18 15:00,0,,2,1d 4h,London,NA,,NA,,B-ZO-UN,B-ZF-UN,B-ZB-UN,,,,,,,,B-ZO-BR,S-ZG-BR,S-ZE-BR,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR
5,1999.11.17 00:00,EURUSD,60,86400,BUY,ZO,0,1.03450,1.02970,480.0,1.03570,1.02990,580.0,120.833,4.17,460.0,113.3,1.03450,1.02990,1.04030,BREAK,1999.11.17 11:00,0,,0,,0,,0,NA,London,UNTOUCHED,,NA,,1.02510,BOUNCE,1999.11.19 16:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,1.03910,BREAK,1999.11.17 11:00,0,,0,,0,,0,NA,London,UNTOUCHED,,NA,,1.02530,BOUNCE,1999.11.19 16:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,,,,,,,S-ZG-BR,S-ZE-BR,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO
6,1999.11.19 00:00,EURUSD,60,86400,SELL,ZG,0,1.04450,1.02910,1540.0,1.04360,1.02650,1710.0,111.039,5.84,1450.0,363.4,1.04360,1.02910,1.01200,BREAK,1999.11.26 14:00,0,,0,,0,,0,NA,NewYork,UNTOUCHED,,NA,,1.05900,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.01460,BREAK,1999.11.26 10:00,0,,0,,0,,0,NA,London,BOUNCE,1999.12.06 14:00,NA,,1.05810,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,,,,,,S-ZE-BR,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN
7,1999.11.20 00:00,EURUSD,60,86400,SELL,ZE,1,1.04360,1.02650,1710.0,1.03360,1.02450,910.0,53.216,58.48,710.0,403.6,1.03360,1.02650,1.01740,BREAK,1999.11.24 19:00,0,,0,,0,,0,NA,NewYork,BOUNCE,1999.11.26 19:00,NA,,1.05070,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.01940,BREAK,1999.11.24 19:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.11.26 14:00,BOUNCE,1999.11.30 13:00,1.04070,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,,,,,S-ZF-BR,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN
8,1999.11.24 00:00,EURUSD,60,86400,SELL,ZF,1,1.03410,1.02910,500.0,1.03360,1.02570,790.0,158.000,10.00,450.0,118.0,1.03360,1.02910,1.02120,BREAK,1999.11.24 15:00,0,,0,,0,,0,NA,NewYork,BOUNCE,1999.11.25 12:00,NA,,1.03860,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.02460,BREAK,1999.11.24 10:00,0,,0,,0,,0,NA,London,BREAK,1999.11.24 19:00,BREAK,1999.11.26 10:00,1.03810,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,,,,S-ZB-BR,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR
9,1999.11.25 00:00,EURUSD,60,86400,SELL,ZB,1,1.03360,1.02570,790.0,1.02870,1.01560,1310.0,165.823,62.03,300.0,186.4,1.02870,1.02570,1.01260,BREAK,1999.11.26 14:00,0,,0,,0,,0,NA,NewYork,BOUNCE,1999.11.26 17:00,NA,,1.03660,BOUNCE,2000.01.05 10:00,0,,0,,0,,0,NA,London,NA,,NA,,1.02270,BREAK,1999.11.25 00:00,0,,0,,0,,0,NA,Asia,BREAK,1999.11.25 10:00,BOUNCE,1999.11.25 16:00,1.03170,BREAK,2000.01.04 14:00,0,,0,,0,,0,NA,NewYork,BREAK,2000.01.05 10:00,BREAK,2000.01.05 11:00,S-ZF-BR,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,,,S-ZG-BO,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR,B-ZO-BO
10,1999.11.27 00:00,EURUSD,60,86400,SELL,ZG,1,1.02130,1.01640,490.0,1.02000,1.00800,1200.0,244.898,26.53,360.0,115.6,1.02000,1.01640,1.00440,BOUNCE,1999.11.29 18:00,1,1999.11.30 13:00,1,1999.12.06 16:00,1,1999.12.06 19:00,3,1w 0d,NewYork,NA,,NA,,1.02490,BREAK,1999.12.06 19:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.12.07 12:00,BREAK,2000.01.04 14:00,1.01280,BREAK,1999.11.29 07:00,0,,0,,0,,0,NA,London,BREAK,1999.11.29 16:00,BREAK,1999.11.29 18:00,1.02360,BOUNCE,1999.12.06 16:00,1,1999.12.10 16:00,1,1999.12.10 16:00,0,,2,4d 0h,NewYork,NA,,NA,,S-ZB-BR,S-ZF-BR,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,,S-ZH-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR,B-ZO-BO,S-ZC-BO
11,1999.12.03 00:00,EURUSD,60,86400,SELL,ZH,1,1.01290,1.00470,820.0,1.01070,1.00000,1070.0,130.488,26.83,600.0,193.5,1.01070,1.00470,0.99400,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.01890,BREAK,1999.12.06 16:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.12.07 12:00,BREAK,2000.01.04 14:00,0.99870,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.01670,BOUNCE,1999.12.06 14:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,S-ZG-BO,S-ZB-BR,S-ZF-BR,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZB-UN,S-ZE-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR,B-ZO-BO,S-ZC-BO,B-ZF-BR
12,1999.12.04 00:00,EURUSD,60,86400,SELL,ZE,1,1.01070,1.00000,1070.0,1.00420,0.99930,490.0,45.794,60.75,420.0,252.5,1.00420,1.00000,0.99510,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.01490,BOUNCE,1999.12.06 14:00,1,1999.12.14 12:00,0,,0,,1,1w 0d,NewYork,NA,,NA,,0.99580,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.00840,BREAK,1999.12.06 14:00,0,,0,,0,,0,NA,NewYork,BREAK,1999.12.06 15:00,BREAK,1999.12.06 16:00,S-ZH-UN,S-ZG-BO,S-ZB-BR,S-ZF-BR,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,B-ZF-UN,B-ZE-BO,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR,B-ZO-BO,S-ZC-BO,B-ZF-BR,S-ZB-BO
13,1999.12.08 00:00,EURUSD,60,86400,BUY,ZE,1,1.02630,0.99910,2720.0,1.02970,1.01990,980.0,36.029,76.47,640.0,641.9,1.02630,1.01990,1.03610,BOUNCE,2000.01.05 10:00,1,2000.01.10 13:00,1,2000.01.14 18:00,0,,2,1w 2d,London,NA,,NA,,0.99270,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.03270,BOUNCE,2000.01.04 14:00,1,2000.01.14 18:00,0,,0,,1,1w 3d,NewYork,NA,,NA,,1.01350,BREAK,1999.12.10 12:00,0,,0,,0,,0,NA,London,BOUNCE,1999.12.16 11:00,NA,,S-ZE-UN,S-ZH-UN,S-ZG-BO,S-ZB-BR,S-ZF-BR,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,B-ZO-UN,S-ZF-BR,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR,B-ZO-BO,S-ZC-BO,B-ZF-BR,S-ZB-BO,S-ZO-BR
14,1999.12.10 00:00,EURUSD,60,86400,SELL,ZF,1,1.02890,1.02210,680.0,1.02850,1.01520,1330.0,195.588,5.88,640.0,160.5,1.02850,1.02210,1.00880,BREAK,1999.12.14 12:00,0,,0,,0,,0,NA,London,BOUNCE,1999.12.16 10:00,NA,,1.03530,BREAK,2000.01.05 10:00,0,,0,,0,,0,NA,London,UNTOUCHED,,NA,,1.01570,BREAK,1999.12.10 12:00,0,,0,,0,,0,NA,London,BREAK,1999.12.14 12:00,BREAK,1999.12.15 15:00,1.03490,BREAK,2000.01.05 10:00,0,,0,,0,,0,NA,London,BOUNCE,2000.01.06 18:00,NA,,B-ZE-BO,S-ZE-UN,S-ZH-UN,S-ZG-BO,S-ZB-BR,S-ZF-BR,S-ZE-BR,S-ZG-BR,B-ZO-BR,S-ZB-BO,S-ZB-BO,S-ZF-UN,S-ZE-UN,B-ZB-BR,B-ZO-BO,S-ZC-BO,B-ZF-BR,S-ZB-BO,S-ZO-BR,B-ZB-BR
