AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2026.06.18 00:00,EURUSD,60,86400,SELL,ZF,1,1.16192,1.15874,318.0,1.16160,1.14773,1387.0,436.164,10.06,286.0,75.0,1.16160,1.15874,1.14487,BREAK,2026.06.19 06:00,0,,0,,0,,0,NA,Asia,BOUNCE,2026.06.19 11:00,NA,,1.16478,PENDING,,0,,0,,0,,0,NA,Other,NA,,NA,,1.15588,BREAK,2026.06.18 00:00,0,,0,,0,,0,NA,Asia,BREAK,2026.06.18 01:00,BREAK,2026.06.18 11:00,1.16446,PENDING,,0,,0,,0,,0,NA,Other,NA,,NA,,,,,,,,,,,,B-ZB-BR,B-ZB-BO,S-ZO-UN,B-ZO-BR,S-ZE-UN,B-ZB-BR,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR
2,,EURUSD,60,86400,BUY,ZB,1,1.05775,1.05166,609.0,1.06675,1.05618,1057.0,173.563,0.00,157.0,143.7,1.05775,1.05618,1.06832,BREAK,2023.11.03 16:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.03 17:00,BREAK,2023.11.03 18:00,1.05009,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.05932,BREAK,2023.11.03 00:00,0,,0,,0,,0,NA,Asia,BREAK,2023.11.03 01:00,BREAK,2023.11.03 13:00,1.05461,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZF-BR,,,,,,,,,,B-ZB-BO,S-ZO-UN,B-ZO-BR,S-ZE-UN,B-ZB-BR,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR
3,,EURUSD,60,86400,BUY,ZB,1,1.06675,1.05618,1057.0,1.07466,1.06141,1325.0,125.355,0.00,534.0,249.5,1.06675,1.06141,1.08000,BOUNCE,2023.11.14 17:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,1.05084,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07209,BREAK,2023.11.04 00:00,0,,0,,0,,0,NA,Asia,BREAK,2023.11.14 17:00,BREAK,2023.11.14 20:00,1.05607,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZB-BR,S-ZF-BR,,,,,,,,,S-ZO-UN,B-ZO-BR,S-ZE-UN,B-ZB-BR,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO
4,,EURUSD,60,86400,SELL,ZO,0,1.07240,1.06640,600.0,1.07159,1.06593,566.0,94.333,0.00,519.0,141.6,1.07159,1.06640,1.06074,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07759,BREAK,2023.11.14 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.14 19:00,BREAK,2023.11.16 19:00,1.06121,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07678,BREAK,2023.11.14 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.14 18:00,BREAK,2023.11.15 00:00,B-ZB-BO,B-ZB-BR,S-ZF-BR,,,,,,,,B-ZO-BR,S-ZE-UN,B-ZB-BR,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR
5,,EURUSD,60,86400,BUY,ZO,0,1.07159,1.06593,566.0,1.07253,1.06599,654.0,115.548,0.00,560.0,133.6,1.07159,1.06599,1.07813,BREAK,2023.11.14 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.14 20:00,BOUNCE,2023.11.17 11:00,1.06033,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07719,BREAK,2023.11.14 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.14 19:00,BOUNCE,2023.11.17 12:00,1.06039,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZO-UN,B-ZB-BO,B-ZB-BR,S-ZF-BR,,,,,,,S-ZE-UN,B-ZB-BR,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR,S-ZB-BR
6,,EURUSD,60,86400,SELL,ZE,1,1.07253,1.06599,654.0,1.06926,1.06560,366.0,55.963,0.00,327.0,154.3,1.06926,1.06599,1.06233,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07580,BREAK,2023.11.14 17:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.14 18:00,BREAK,2023.11.14 19:00,1.06272,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07253,BREAK,2023.11.14 14:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.11.14 18:00,BREAK,2023.11.14 19:00,B-ZO-BR,S-ZO-UN,B-ZB-BO,B-ZB-BR,S-ZF-BR,,,,,,B-ZB-BR,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR,S-ZB-BR,S-ZD-BO
7,,EURUSD,60,86400,BUY,ZB,1,1.07060,1.06648,412.0,1.08826,1.06916,1910.0,463.592,0.00,144.0,97.2,1.07060,1.06916,1.08970,BREAK,2023.11.17 22:00,0,,0,,0,,0,NA,Other,BREAK,2023.11.20 06:00,BREAK,2023.11.20 08:00,1.06504,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.07204,BREAK,2023.11.15 00:00,0,,0,,0,,0,NA,Asia,BREAK,2023.11.15 01:00,BREAK,2023.11.15 02:00,1.06772,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZE-UN,B-ZO-BR,S-ZO-UN,B-ZB-BO,B-ZB-BR,S-ZF-BR,,,,,B-ZE-BO,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR,S-ZB-BR,S-ZD-BO,S-ZB-BO
8,,EURUSD,60,86400,BUY,ZE,1,1.08826,1.06916,1910.0,1.08872,1.08314,558.0,29.215,0.00,512.0,450.8,1.08826,1.08314,1.09384,BOUNCE,2023.11.20 13:00,1,2023.12.01 19:00,1,2023.12.05 22:00,0,,2,2w 1d,NewYork,NA,,NA,,1.06404,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.09338,BOUNCE,2023.11.20 08:00,1,2023.12.05 22:00,0,,0,,1,2w 1d,London,NA,,NA,,1.07802,BREAK,2023.12.05 22:00,0,,0,,0,,0,NA,Other,UNTOUCHED,,NA,,B-ZB-BR,S-ZE-UN,B-ZO-BR,S-ZO-UN,B-ZB-BO,B-ZB-BR,S-ZF-BR,,,,B-ZO-BO,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR,S-ZB-BR,S-ZD-BO,S-ZB-BO,S-ZD-BR
9,,EURUSD,60,86400,BUY,ZO,0,1.09517,1.08973,544.0,1.09649,1.09000,649.0,119.301,0.00,517.0,128.4,1.09517,1.09000,1.10166,BOUNCE,2023.11.29 05:00,1,2023.11.30 14:00,1,2023.12.01 18:00,1,2023.12.01 18:00,3,2d 13h,Asia,NA,,NA,,1.08456,BREAK,2023.12.01 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.12.05 22:00,BREAK,2023.12.08 17:00,1.10034,BREAK,2023.11.28 20:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.12.27 16:00,BREAK,2023.12.27 20:00,1.08483,BREAK,2023.12.01 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2023.12.05 20:00,BREAK,2023.12.08 17:00,B-ZE-BO,B-ZB-BR,S-ZE-UN,B-ZO-BR,S-ZO-UN,B-ZB-BO,B-ZB-BR,S-ZF-BR,,,S-ZB-BO,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR,S-ZB-BR,S-ZD-BO,S-ZB-BO,S-ZD-BR,S-ZG-UN
10,,EURUSD,60,86400,SELL,ZB,1,1.09649,1.09000,649.0,1.09227,1.08522,705.0,108.629,0.00,227.0,153.2,1.09227,1.09000,1.08295,BOUNCE,2023.12.01 20:00,1,2023.12.01 21:00,1,2023.12.14 17:00,1,2023.12.14 18:00,3,1w 5d,NewYork,NA,,NA,,1.09876,BREAK,2023.11.28 19:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2023.11.29 11:00,NA,,1.08773,BOUNCE,2023.12.01 02:00,1,2023.12.14 17:00,1,2023.12.14 18:00,0,,2,1w 6d,Asia,NA,,NA,,1.09454,BREAK,2023.11.24 22:00,0,,0,,0,,0,NA,Other,BOUNCE,2023.11.28 17:00,NA,,B-ZO-BO,B-ZE-BO,B-ZB-BR,S-ZE-UN,B-ZO-BR,S-ZO-UN,B-ZB-BO,B-ZB-BR,S-ZF-BR,,B-ZC-BR,B-ZF-BR,B-ZH-BO,B-ZO-BR,S-ZB-BR,S-ZD-BO,S-ZB-BO,S-ZD-BR,S-ZG-UN,B-ZF-BR
