AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2014.05.07 00:00,GBPJPY,60,86400,BUY,ZB,1,172.557,171.772,785.0,172.945,172.197,748.0,95.287,54.14,360.0,185.3,172.557,172.197,173.305,BOUNCE,2014.06.13 09:00,0,,0,,0,,0,NA,London,NA,,NA,,171.412,BOUNCE,2014.05.09 14:00,1,2014.05.12 11:00,1,2014.06.13 07:00,1,2014.06.13 09:00,3,4w 6d,NewYork,NA,,NA,,172.917,BOUNCE,2014.05.07 16:00,1,2014.05.09 13:00,1,2014.05.09 14:00,0,,2,1d 22h,NewYork,NA,,NA,,171.837,BREAK,2014.05.09 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2014.05.09 15:00,BREAK,2014.05.14 12:00,,,,,,,,,,,S-ZF-BO,S-ZB-BO,B-ZG-BR,B-ZE-BO,S-ZD-BO,S-ZD-BO,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO
2,2014.05.09 00:00,GBPJPY,60,86400,SELL,ZF,0,172.982,172.142,840.0,172.848,171.861,987.0,117.500,15.95,706.0,198.2,172.848,172.142,171.155,BOUNCE,2014.05.14 11:00,1,2014.06.13 06:00,1,2014.06.18 09:00,1,2014.06.18 11:00,3,5w 0d,London,NA,,NA,,173.688,BOUNCE,2014.06.18 11:00,0,,0,,0,,0,NA,London,NA,,NA,,171.436,BREAK,2014.05.09 14:00,0,,0,,0,,0,NA,NewYork,BREAK,2014.05.15 03:00,BOUNCE,2014.05.20 04:00,173.554,BREAK,2014.06.18 09:00,0,,0,,0,,0,NA,London,BREAK,2014.07.02 16:00,BREAK,2014.07.03 16:00,B-ZB-BO,,,,,,,,,,S-ZB-BO,B-ZG-BR,B-ZE-BO,S-ZD-BO,S-ZD-BO,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO
3,2014.05.12 01:00,GBPJPY,60,86400,SELL,ZB,1,172.848,171.861,987.0,172.296,171.217,1079.0,109.321,55.93,435.0,232.9,172.296,171.861,170.782,BOUNCE,2014.05.14 12:00,1,2014.05.22 06:00,1,2014.06.13 06:00,1,2014.06.13 09:00,3,4w 1d,London,NA,,NA,,173.283,BOUNCE,2014.06.13 09:00,0,,0,,0,,0,NA,London,NA,,NA,,171.426,BREAK,2014.05.14 11:00,0,,0,,0,,0,NA,London,BREAK,2014.05.14 12:00,BOUNCE,2014.05.15 10:00,172.731,BOUNCE,2014.05.13 07:00,1,2014.05.14 11:00,1,2014.05.14 11:00,0,,2,1d 4h,London,NA,,NA,,S-ZF-BO,B-ZB-BO,,,,,,,,,B-ZG-BR,B-ZE-BO,S-ZD-BO,S-ZD-BO,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO
4,2014.05.13 00:00,GBPJPY,60,86400,BUY,ZG,0,172.296,171.217,1079.0,172.501,171.540,961.0,89.064,29.94,756.0,254.6,172.296,171.540,173.257,BREAK,2014.06.13 09:00,0,,0,,0,,0,NA,London,BOUNCE,2014.06.23 14:00,NA,,170.461,BREAK,2014.05.15 03:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.05.30 16:00,NA,,173.052,BREAK,2014.06.13 09:00,0,,0,,0,,0,NA,London,BREAK,2014.06.20 12:00,BREAK,2014.07.03 04:00,170.784,BREAK,2014.05.14 12:00,0,,0,,0,,0,NA,London,BOUNCE,2014.05.20 05:00,NA,,S-ZB-BO,S-ZF-BO,B-ZB-BO,,,,,,,,B-ZE-BO,S-ZD-BO,S-ZD-BO,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR
5,2014.05.14 00:00,GBPJPY,60,86400,BUY,ZE,1,172.501,171.540,961.0,172.731,171.912,819.0,85.224,38.71,589.0,226.8,172.501,171.912,173.320,BOUNCE,2014.06.13 09:00,0,,0,,0,,0,NA,London,NA,,NA,,170.951,BREAK,2014.05.14 12:00,0,,0,,0,,0,NA,London,BOUNCE,2014.05.16 16:00,NA,,173.090,BREAK,2014.06.13 09:00,0,,0,,0,,0,NA,London,BOUNCE,2014.06.18 13:00,NA,,171.323,BOUNCE,2014.05.14 11:00,1,2014.06.13 09:00,1,2014.06.13 09:00,0,,2,4w 1d,London,NA,,NA,,B-ZG-BR,S-ZB-BO,S-ZF-BO,B-ZB-BO,,,,,,,S-ZD-BO,S-ZD-BO,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR,B-ZO-BR
6,2014.05.15 00:00,GBPJPY,60,86400,SELL,ZD,1,172.731,171.912,819.0,172.353,170.599,1754.0,214.164,46.15,441.0,193.3,172.353,171.912,170.158,BOUNCE,2014.05.19 12:00,1,2014.05.21 15:00,1,2014.06.13 06:00,1,2014.06.13 09:00,3,3w 3d,London,NA,,NA,,173.172,BOUNCE,2014.06.13 09:00,0,,0,,0,,0,NA,London,NA,,NA,,171.471,BREAK,2014.05.15 00:00,0,,0,,0,,0,NA,Asia,BREAK,2014.05.15 01:00,BREAK,2014.05.15 18:00,172.794,BREAK,2014.06.13 06:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.06.16 06:00,NA,,B-ZE-BO,B-ZG-BR,S-ZB-BO,S-ZF-BO,B-ZB-BO,,,,,,S-ZD-BO,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR,B-ZO-BR,B-ZO-BR
7,2014.05.16 00:00,GBPJPY,60,86400,SELL,ZD,1,172.353,170.599,1754.0,171.019,170.161,858.0,48.917,76.05,420.0,413.9,171.019,170.599,169.741,BOUNCE,2014.05.29 10:00,1,2014.05.30 17:00,1,2014.06.02 18:00,1,2014.06.13 06:00,3,2w 0d,London,NA,,NA,,172.773,BREAK,2014.06.13 06:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.06.16 06:00,NA,,170.179,BOUNCE,2014.05.19 12:00,1,2014.05.21 17:00,1,2014.06.13 06:00,0,,2,3w 3d,London,NA,,NA,,171.439,BREAK,2014.05.21 17:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2014.05.27 12:00,NA,,S-ZD-BO,B-ZE-BO,B-ZG-BR,S-ZB-BO,S-ZF-BO,B-ZB-BO,,,,,S-ZG-UN,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR,B-ZO-BR,B-ZO-BR,S-ZB-BO
8,2014.05.20 00:00,GBPJPY,60,86400,SELL,ZG,0,170.980,170.217,763.0,170.950,170.020,930.0,121.887,3.93,733.0,180.1,170.950,170.217,169.287,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,171.713,BREAK,2014.05.22 07:00,0,,0,,0,,0,NA,London,BOUNCE,2014.06.10 11:00,NA,,169.484,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,171.683,BREAK,2014.05.22 06:00,0,,0,,0,,0,NA,Asia,BOUNCE,2014.06.10 11:00,NA,,S-ZD-BO,S-ZD-BO,B-ZE-BO,B-ZG-BR,S-ZB-BO,S-ZF-BO,B-ZB-BO,,,,S-ZB-BO,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR,B-ZO-BR,B-ZO-BR,S-ZB-BO,S-ZE-UN
9,2014.05.29 00:00,GBPJPY,60,86400,SELL,ZB,1,171.959,171.267,692.0,171.495,169.879,1616.0,233.526,67.05,228.0,163.3,171.495,171.267,169.651,BOUNCE,2014.05.29 10:00,1,2014.05.29 16:00,1,2014.06.03 11:00,1,2014.06.05 16:00,3,1w 0d,London,NA,,NA,,172.187,BOUNCE,2014.06.05 16:00,1,2014.06.10 10:00,1,2014.06.11 14:00,0,,2,5d 22h,NewYork,NA,,NA,,171.039,BREAK,2014.05.29 00:00,0,,0,,0,,0,NA,Asia,BREAK,2014.05.29 01:00,BREAK,2014.05.29 02:00,171.723,BOUNCE,2014.06.03 11:00,1,2014.06.11 14:00,1,2014.06.11 14:00,0,,2,1w 1d,London,NA,,NA,,S-ZG-UN,S-ZD-BO,S-ZD-BO,B-ZE-BO,B-ZG-BR,S-ZB-BO,S-ZF-BO,B-ZB-BO,,,B-ZF-BR,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR,B-ZO-BR,B-ZO-BR,S-ZB-BO,S-ZE-UN,B-ZH-BR
10,2014.06.02 01:00,GBPJPY,60,86400,BUY,ZF,1,170.214,169.525,689.0,170.691,169.774,917.0,133.091,36.14,440.0,162.6,170.214,169.774,171.131,BREAK,2014.06.02 15:00,0,,0,,0,,0,NA,NewYork,BREAK,2014.06.03 11:00,BREAK,2014.06.05 16:00,169.085,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,170.654,BREAK,2014.06.02 02:00,0,,0,,0,,0,NA,Asia,BREAK,2014.06.02 16:00,BREAK,2014.06.03 11:00,169.334,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZB-BO,S-ZG-UN,S-ZD-BO,S-ZD-BO,B-ZE-BO,B-ZG-BR,S-ZB-BO,S-ZF-BO,B-ZB-BO,,B-ZB-BO,B-ZB-BO,B-ZH-BO,B-ZH-BR,B-ZO-BR,B-ZO-BR,S-ZB-BO,S-ZE-UN,B-ZH-BR,B-ZH-BR
