AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2003.05.07 00:00,NZDUSD,60,86400,BUY,ZD,1,0.56830,0.56240,590.0,0.57520,0.56600,920.0,155.932,61.02,230.0,139.2,0.56830,0.56600,0.57750,BOUNCE,2003.05.09 01:00,1,2003.05.14 01:00,0,,0,,1,5d 0h,Asia,NA,,NA,,0.56010,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.57060,BREAK,2003.05.07 00:00,0,,0,,0,,0,NA,Asia,BREAK,2003.05.07 01:00,BOUNCE,2003.05.08 01:00,0.56370,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,,,,,,,,,,,B-ZO-BR,S-ZF-UN,B-ZO-BR,S-ZE-BR,B-ZH-BR,S-ZD-UN,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR
2,2003.05.09 00:00,NZDUSD,60,86400,BUY,ZO,0,0.57530,0.56430,1100.0,0.57640,0.56580,1060.0,96.364,13.64,950.0,259.6,0.57530,0.56580,0.58590,BREAK,2003.05.19 01:00,0,,0,,0,,0,NA,Asia,PENDING,,NA,,0.55480,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.58480,BREAK,2003.05.19 01:00,0,,0,,0,,0,NA,Asia,UNTOUCHED,,NA,,0.55630,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZD-BO,,,,,,,,,,S-ZF-UN,B-ZO-BR,S-ZE-BR,B-ZH-BR,S-ZD-UN,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR
3,2003.05.14 00:00,NZDUSD,60,86400,SELL,ZF,1,0.58230,0.57730,500.0,0.58150,0.57370,780.0,156.000,16.00,420.0,118.0,0.58150,0.57730,0.56950,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.58650,BOUNCE,2003.05.19 01:00,1,2003.05.28 01:00,1,2003.05.28 01:00,0,,2,1w 2d,Asia,NA,,NA,,0.57310,BREAK,2003.05.14 01:00,0,,0,,0,,0,NA,Asia,UNTOUCHED,,NA,,0.58570,BOUNCE,2003.05.19 01:00,1,2003.05.28 01:00,1,2003.05.28 01:00,0,,2,1w 2d,Asia,NA,,NA,,B-ZO-BR,B-ZD-BO,,,,,,,,,B-ZO-BR,S-ZE-BR,B-ZH-BR,S-ZD-UN,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR
4,2003.05.21 00:00,NZDUSD,60,86400,BUY,ZO,0,0.58680,0.58130,550.0,0.58770,0.58150,620.0,112.727,3.64,530.0,129.8,0.58680,0.58150,0.59300,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.07 01:00,UNTOUCHED,,0.57600,BREAK,2003.05.28 01:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.05.29 01:00,NA,,0.59210,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.07 01:00,UNTOUCHED,,0.57620,BREAK,2003.05.28 01:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.05.29 01:00,NA,,S-ZF-UN,B-ZO-BR,B-ZD-BO,,,,,,,,S-ZE-BR,B-ZH-BR,S-ZD-UN,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR
5,2003.05.23 00:00,NZDUSD,60,86400,SELL,ZE,1,0.58900,0.57980,920.0,0.58410,0.57910,500.0,54.348,53.26,430.0,217.1,0.58410,0.57980,0.57480,BREAK,2003.05.28 01:00,0,,0,,0,,0,NA,Asia,UNTOUCHED,,NA,,0.59330,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.07.03 01:00,NA,,0.57550,BREAK,2003.05.28 01:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.05.29 01:00,NA,,0.58840,BOUNCE,2003.06.25 01:00,0,,0,,0,,0,NA,Asia,NA,,NA,,B-ZO-BR,S-ZF-UN,B-ZO-BR,B-ZD-BO,,,,,,,B-ZH-BR,S-ZD-UN,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR,B-ZO-BO
6,2003.05.24 00:00,NZDUSD,60,86400,BUY,ZH,0,0.58410,0.57910,500.0,0.58670,0.58000,670.0,134.000,18.00,410.0,118.0,0.58410,0.58000,0.59080,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.01 17:00,BREAK,2003.07.07 01:00,0.57500,BREAK,2003.05.28 01:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.05.29 01:00,NA,,0.58820,BOUNCE,2003.06.25 01:00,0,,0,,0,,0,NA,Asia,NA,,NA,,0.57590,BREAK,2003.05.28 01:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.05.28 15:00,NA,,S-ZE-BR,B-ZO-BR,S-ZF-UN,B-ZO-BR,B-ZD-BO,,,,,,S-ZD-UN,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR,B-ZO-BO,S-ZF-BR
7,2003.05.29 00:00,NZDUSD,60,86400,SELL,ZD,1,0.58730,0.58080,650.0,0.58290,0.57170,1120.0,172.308,67.69,210.0,153.4,0.58290,0.58080,0.56960,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.58940,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.01 09:00,BOUNCE,2003.07.01 11:00,0.57870,BREAK,2003.05.29 00:00,0,,0,,0,,0,NA,Asia,BREAK,2003.05.29 01:00,BREAK,2003.05.29 05:00,0.58500,BOUNCE,2003.06.17 01:00,1,2003.06.26 01:00,1,2003.06.26 01:00,0,,2,1w 2d,Asia,NA,,NA,,B-ZH-BR,S-ZE-BR,B-ZO-BR,S-ZF-UN,B-ZO-BR,B-ZD-BO,,,,,S-ZO-UN,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR,B-ZO-BO,S-ZF-BR,S-ZE-BO
8,2003.05.30 00:00,NZDUSD,60,86400,SELL,ZO,0,0.58290,0.57170,1120.0,0.57970,0.57060,910.0,81.250,28.57,800.0,264.3,0.57970,0.57170,0.56260,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.59090,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.07 01:00,UNTOUCHED,,0.56370,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.58770,BOUNCE,2003.06.23 01:00,0,,0,,0,,0,NA,Asia,NA,,NA,,S-ZD-UN,B-ZH-BR,S-ZE-BR,B-ZO-BR,S-ZF-UN,B-ZO-BR,B-ZD-BO,,,,S-ZO-UN,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR,B-ZO-BO,S-ZF-BR,S-ZE-BO,S-ZO-UN
9,2003.06.06 00:00,NZDUSD,60,86400,SELL,ZO,0,0.58490,0.57740,750.0,0.58460,0.57380,1080.0,144.000,4.00,720.0,177.0,0.58460,0.57740,0.56660,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.59210,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.07 01:00,UNTOUCHED,,0.57020,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,0.59180,BREAK,2003.07.01 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.07.07 01:00,UNTOUCHED,,S-ZO-UN,S-ZD-UN,B-ZH-BR,S-ZE-BR,B-ZO-BR,S-ZF-UN,B-ZO-BR,B-ZD-BO,,,B-ZG-BO,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR,B-ZO-BO,S-ZF-BR,S-ZE-BO,S-ZO-UN,B-ZD-UN
10,2003.06.14 00:00,NZDUSD,60,86400,BUY,ZG,0,0.58130,0.57490,640.0,0.58140,0.57670,470.0,73.437,28.13,460.0,151.0,0.58130,0.57670,0.58600,BOUNCE,2003.06.17 01:00,1,2003.07.10 01:00,1,2003.07.18 01:00,1,2003.07.18 01:00,3,4w 3d,Asia,NA,,NA,,0.57030,BREAK,2003.07.18 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.08.28 01:00,UNTOUCHED,,0.58590,BOUNCE,2003.06.17 01:00,1,2003.07.18 01:00,1,2003.07.18 01:00,0,,2,4w 3d,Asia,NA,,NA,,0.57210,BREAK,2003.07.18 01:00,0,,0,,0,,0,NA,Asia,BREAK,2003.08.28 01:00,UNTOUCHED,,S-ZO-UN,S-ZO-UN,S-ZD-UN,B-ZH-BR,S-ZE-BR,B-ZO-BR,S-ZF-UN,B-ZO-BR,B-ZD-BO,,B-ZO-BR,S-ZH-BR,B-ZO-BR,S-ZH-BR,B-ZO-BO,S-ZF-BR,S-ZE-BO,S-ZO-UN,B-ZD-UN,S-ZO-BO
