AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2020.11.06 00:00,USDCAD,60,86400,SELL,ZB,1,1.32990,1.30947,2043.0,1.31780,1.30284,1496.0,73.226,59.23,833.0,482.1,1.31780,1.30947,1.29451,BOUNCE,2020.11.09 17:00,1,2020.11.12 18:00,0,,0,,1,3d 1h,NewYork,NA,,NA,,1.33823,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.30114,BREAK,2020.11.09 05:00,0,,0,,0,,0,NA,Asia,BREAK,2020.12.03 19:00,BREAK,2020.12.04 19:00,1.32613,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,,,,,,,,,,,S-ZD-BO,S-ZF-BO,B-ZB-BR,B-ZD-BO,B-ZE-UN,S-ZO-BO,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR
2,2020.11.07 00:00,USDCAD,60,86400,SELL,ZD,1,1.31780,1.30284,1496.0,1.30965,1.30191,774.0,51.738,54.48,681.0,353.1,1.30965,1.30284,1.29510,BOUNCE,2020.11.09 17:00,1,2020.11.12 10:00,1,2020.11.13 07:00,0,,2,3d 14h,NewYork,NA,,NA,,1.32461,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.29603,BOUNCE,2020.11.09 16:00,1,2020.11.13 07:00,0,,0,,1,3d 15h,NewYork,NA,,NA,,1.31646,BOUNCE,2020.11.13 07:00,1,2020.11.30 14:00,1,2020.11.30 14:00,0,,2,2w 3d,London,NA,,NA,,S-ZB-BO,,,,,,,,,,S-ZF-BO,B-ZB-BR,B-ZD-BO,B-ZE-UN,S-ZO-BO,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR
3,2020.11.10 00:00,USDCAD,60,86400,SELL,ZF,1,1.30620,1.30274,346.0,1.30517,1.29281,1236.0,357.225,29.77,243.0,81.7,1.30517,1.30274,1.29038,BOUNCE,2020.12.03 16:00,1,2020.12.21 14:00,0,,0,,1,2w 3d,NewYork,NA,,NA,,1.30863,BREAK,2020.11.12 10:00,0,,0,,0,,0,NA,London,BREAK,2020.11.12 18:00,BOUNCE,2020.11.12 20:00,1.30031,BREAK,2020.11.10 00:00,0,,0,,0,,0,NA,Asia,BREAK,2020.11.30 14:00,BREAK,2020.11.30 17:00,1.30760,BOUNCE,2020.11.11 16:00,1,2020.11.25 00:00,1,2020.11.25 00:00,0,,2,1w 6d,NewYork,NA,,NA,,S-ZD-BO,S-ZB-BO,,,,,,,,,B-ZB-BR,B-ZD-BO,B-ZE-UN,S-ZO-BO,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN
4,2020.11.12 00:00,USDCAD,60,86400,BUY,ZB,1,1.30507,1.29761,746.0,1.30767,1.30084,683.0,91.555,43.30,423.0,176.1,1.30507,1.30084,1.31190,BREAK,2020.11.12 18:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2020.11.13 14:00,NA,,1.29338,BOUNCE,2020.11.30 18:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,1.30930,BREAK,2020.11.12 10:00,0,,0,,0,,0,NA,London,BREAK,2020.11.13 05:00,UNTOUCHED,,1.29661,BREAK,2020.11.30 14:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2020.11.30 20:00,NA,,S-ZF-BO,S-ZD-BO,S-ZB-BO,,,,,,,,B-ZD-BO,B-ZE-UN,S-ZO-BO,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR
5,2020.11.13 00:00,USDCAD,60,86400,BUY,ZD,1,1.30767,1.30084,683.0,1.31497,1.30550,947.0,138.653,68.23,217.0,161.2,1.30767,1.30550,1.31714,BOUNCE,2020.11.13 20:00,1,2020.11.16 03:00,1,2020.11.24 12:00,1,2020.11.25 21:00,3,1w 5d,NewYork,NA,,NA,,1.29867,BOUNCE,2020.11.25 21:00,0,,0,,0,,0,NA,Other,NA,,NA,,1.30984,BREAK,2020.11.13 00:00,0,,0,,0,,0,NA,Asia,BREAK,2020.11.13 01:00,BREAK,2020.11.13 06:00,1.30333,BREAK,2020.11.24 12:00,0,,0,,0,,0,NA,London,BREAK,2020.11.25 01:00,BOUNCE,2020.11.26 14:00,B-ZB-BR,S-ZF-BO,S-ZD-BO,S-ZB-BO,,,,,,,B-ZE-UN,S-ZO-BO,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR,S-ZD-BO
6,2020.11.14 00:00,USDCAD,60,86400,BUY,ZE,1,1.31497,1.30550,947.0,1.31723,1.31162,561.0,59.240,64.63,335.0,223.5,1.31497,1.31162,1.32058,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.30215,BOUNCE,2020.11.24 12:00,1,2020.11.24 18:00,0,,0,,1,6h,London,NA,,NA,,1.31832,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.30827,BOUNCE,2020.11.16 15:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZD-BO,S-ZB-BO,,,,,,S-ZO-BO,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR,S-ZD-BO,S-ZB-BR
7,2020.11.18 00:00,USDCAD,60,86400,SELL,ZO,0,1.31388,1.30653,735.0,1.31162,1.30633,529.0,71.973,30.75,509.0,173.5,1.31162,1.30653,1.30124,BOUNCE,2020.11.24 12:00,0,,0,,0,,0,NA,London,NA,,NA,,1.31897,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.30144,BOUNCE,2020.11.24 12:00,0,,0,,0,,0,NA,London,NA,,NA,,1.31671,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZE-UN,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZD-BO,S-ZB-BO,,,,,B-ZG-UN,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR,S-ZD-BO,S-ZB-BR,B-ZF-BO
8,2020.11.20 00:00,USDCAD,60,86400,BUY,ZG,0,1.31175,1.30340,835.0,1.31230,1.30473,757.0,90.659,15.93,702.0,197.1,1.31175,1.30473,1.31932,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.29638,BREAK,2020.11.30 14:00,0,,0,,0,,0,NA,NewYork,BREAK,2020.12.03 19:00,BREAK,2020.12.04 19:00,1.31877,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.29771,BREAK,2020.11.27 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2020.12.03 19:00,BREAK,2020.12.04 18:00,S-ZO-BO,B-ZE-UN,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZD-BO,S-ZB-BO,,,,S-ZO-BR,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR,S-ZD-BO,S-ZB-BR,B-ZF-BO,S-ZO-BO
9,2020.11.21 00:00,USDCAD,60,86400,SELL,ZO,0,1.31230,1.30473,757.0,1.30963,1.30390,573.0,75.694,35.27,490.0,178.7,1.30963,1.30473,1.29900,BREAK,2020.11.25 04:00,0,,0,,0,,0,NA,Asia,BREAK,2020.11.30 19:00,BREAK,2020.12.03 19:00,1.31720,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.29983,BREAK,2020.11.25 01:00,0,,0,,0,,0,NA,Asia,BREAK,2020.11.30 18:00,BREAK,2020.12.03 19:00,1.31453,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZG-UN,S-ZO-BO,B-ZE-UN,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZD-BO,S-ZB-BO,,,B-ZE-BO,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR,S-ZD-BO,S-ZB-BR,B-ZF-BO,S-ZO-BO,B-ZG-BR
10,2020.11.23 02:00,USDCAD,60,86400,BUY,ZE,1,1.30963,1.30390,573.0,1.30968,1.30815,153.0,26.702,74.17,148.0,135.2,1.30963,1.30815,1.31116,BOUNCE,2020.11.23 20:00,1,2020.11.23 23:00,1,2020.11.24 04:00,1,2020.11.24 12:00,3,16h,NewYork,NA,,NA,,1.30242,BOUNCE,2020.11.24 12:00,1,2020.11.24 15:00,0,,0,,1,3h,London,NA,,NA,,1.31111,BOUNCE,2020.11.23 20:00,1,2020.11.24 04:00,1,2020.11.24 12:00,0,,2,16h,NewYork,NA,,NA,,1.30667,BREAK,2020.11.23 11:00,0,,0,,0,,0,NA,London,BOUNCE,2020.11.23 17:00,NA,,S-ZO-BR,B-ZG-UN,S-ZO-BO,B-ZE-UN,B-ZD-BO,B-ZB-BR,S-ZF-BO,S-ZD-BO,S-ZB-BO,,S-ZH-BR,S-ZD-BR,B-ZO-UN,S-ZD-BR,S-ZD-BO,S-ZB-BR,B-ZF-BO,S-ZO-BO,B-ZG-BR,S-ZF-BR
