AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,,USDCAD,60,86400,SELL,ZD,1,1.39465,1.38092,1373.0,1.38556,1.37567,989.0,72.032,0.00,464.0,324.0,1.38556,1.38092,1.37103,BREAK,2024.08.13 22:00,0,,0,,0,,0,NA,Other,BREAK,2024.08.19 22:00,BREAK,2024.08.21 19:00,1.39929,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.37628,BREAK,2024.08.07 12:00,0,,0,,0,,0,NA,London,BREAK,2024.08.16 23:00,BREAK,2024.08.19 18:00,1.39020,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,,,,,,,,,,,S-ZB-BR,S-ZO-BO,S-ZF-BR,S-ZE-BR,B-ZH-UN,S-ZH-BR,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN
2,,USDCAD,60,86400,SELL,ZB,1,1.38556,1.37567,989.0,1.37904,1.37209,695.0,70.273,0.00,337.0,233.4,1.37904,1.37567,1.36872,BREAK,2024.08.16 23:00,0,,0,,0,,0,NA,Other,BREAK,2024.08.19 22:00,BREAK,2024.08.21 16:00,1.38893,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.37230,BREAK,2024.08.09 07:00,0,,0,,0,,0,NA,London,BOUNCE,2024.08.14 21:00,NA,,1.38241,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZD-BR,,,,,,,,,,S-ZO-BO,S-ZF-BR,S-ZE-BR,B-ZH-UN,S-ZH-BR,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN
3,,USDCAD,60,86400,SELL,ZO,0,1.37652,1.37262,390.0,1.37517,1.37178,339.0,86.923,0.00,255.0,92.0,1.37517,1.37262,1.36923,BOUNCE,2024.08.14 18:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,1.37907,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.37007,BREAK,2024.08.14 01:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.19 05:00,BREAK,2024.08.19 18:00,1.37772,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZB-BR,S-ZD-BR,,,,,,,,,S-ZF-BR,S-ZE-BR,B-ZH-UN,S-ZH-BR,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR
4,,USDCAD,60,86400,SELL,ZF,0,1.37477,1.37177,300.0,1.37471,1.37070,401.0,133.667,0.00,294.0,70.8,1.37471,1.37177,1.36776,BREAK,2024.08.17 00:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.19 18:00,BREAK,2024.08.20 14:00,1.37771,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.36883,BREAK,2024.08.16 22:00,0,,0,,0,,0,NA,Other,BREAK,2024.08.19 18:00,BREAK,2024.08.20 11:00,1.37765,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZO-BO,S-ZB-BR,S-ZD-BR,,,,,,,,S-ZE-BR,B-ZH-UN,S-ZH-BR,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR
5,,USDCAD,60,86400,SELL,ZE,1,1.37471,1.37070,401.0,1.37244,1.36886,358.0,89.277,0.00,174.0,94.6,1.37244,1.37070,1.36712,BREAK,2024.08.19 04:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.19 18:00,BOUNCE,2024.08.19 19:00,1.37645,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.36896,BREAK,2024.08.16 22:00,0,,0,,0,,0,NA,Other,BREAK,2024.08.19 07:00,BREAK,2024.08.19 18:00,1.37418,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZF-BR,S-ZO-BO,S-ZB-BR,S-ZD-BR,,,,,,,B-ZH-UN,S-ZH-BR,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR,B-ZC-BR
6,,USDCAD,60,86400,BUY,ZH,0,1.37244,1.36886,358.0,1.37379,1.36952,427.0,119.274,0.00,292.0,84.5,1.37244,1.36952,1.37671,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.36594,BREAK,2024.08.19 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2024.08.20 11:00,BREAK,2024.08.21 16:00,1.37536,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.36660,BREAK,2024.08.19 05:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.20 05:00,BOUNCE,2024.08.20 17:00,S-ZE-BR,S-ZF-BR,S-ZO-BO,S-ZB-BR,S-ZD-BR,,,,,,S-ZH-BR,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR,B-ZC-BR,B-ZF-BO
7,,USDCAD,60,86400,SELL,ZH,1,1.36866,1.36768,98.0,1.36848,1.36296,552.0,563.265,0.00,80.0,23.1,1.36848,1.36768,1.36216,BREAK,2024.08.20 11:00,0,,0,,0,,0,NA,London,BREAK,2024.08.20 14:00,BOUNCE,2024.08.20 16:00,1.36946,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.36688,BREAK,2024.08.20 00:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.20 01:00,BREAK,2024.08.20 02:00,1.36928,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZH-UN,S-ZE-BR,S-ZF-BR,S-ZO-BO,S-ZB-BR,S-ZD-BR,,,,,S-ZB-BR,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR,B-ZC-BR,B-ZF-BO,B-ZO-BR
8,,USDCAD,60,86400,SELL,ZB,1,1.36413,1.36049,364.0,1.36238,1.35756,482.0,132.418,0.00,189.0,85.9,1.36238,1.36049,1.35567,BREAK,2024.08.23 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2024.08.23 19:00,BREAK,2024.08.23 20:00,1.36602,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.35860,BREAK,2024.08.22 01:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.23 18:00,BREAK,2024.08.23 19:00,1.36427,BOUNCE,2024.09.19 05:00,1,2024.09.19 10:00,1,2024.09.19 10:00,0,,2,5h,Asia,NA,,NA,,S-ZH-BR,B-ZH-UN,S-ZE-BR,S-ZF-BR,S-ZO-BO,S-ZB-BR,S-ZD-BR,,,,S-ZO-BR,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR,B-ZC-BR,B-ZF-BO,B-ZO-BR,B-ZF-BR
9,,USDCAD,60,86400,SELL,ZO,0,1.36238,1.35756,482.0,1.36185,1.35711,474.0,98.340,0.00,429.0,113.8,1.36185,1.35756,1.35282,BREAK,2024.08.23 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2024.08.26 18:00,BOUNCE,2024.08.28 22:00,1.36667,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.35327,BREAK,2024.08.23 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2024.08.26 18:00,BOUNCE,2024.08.29 17:00,1.36614,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZB-BR,S-ZH-BR,B-ZH-UN,S-ZE-BR,S-ZF-BR,S-ZO-BO,S-ZB-BR,S-ZD-BR,,,S-ZF-BR,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR,B-ZC-BR,B-ZF-BO,B-ZO-BR,B-ZF-BR,B-ZO-BR
10,,USDCAD,60,86400,SELL,ZF,1,1.36185,1.35711,474.0,1.36156,1.34985,1171.0,247.046,0.00,445.0,111.9,1.36156,1.35711,1.34540,BREAK,2024.08.27 18:00,0,,0,,0,,0,NA,NewYork,UNTOUCHED,,NA,,1.36630,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,1.35266,BREAK,2024.08.24 00:00,0,,0,,0,,0,NA,Asia,BREAK,2024.08.26 18:00,BOUNCE,2024.08.28 21:00,1.36601,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZO-BR,S-ZB-BR,S-ZH-BR,B-ZH-UN,S-ZE-BR,S-ZF-BR,S-ZO-BO,S-ZB-BR,S-ZD-BR,,S-ZB-UN,S-ZO-UN,B-ZG-BR,B-ZG-BR,B-ZC-BR,B-ZF-BO,B-ZO-BR,B-ZF-BR,B-ZO-BR,S-ZO-BR
