AngleID,FormTime,Symbol,TF,UnitSeconds,Dir,Class,Confirmed,U2_High,U2_Low,U2_Range,U1_High,U1_Low,U1_Range,Ratio_U1_U2_pct,Corr_pct,L_points,B_points,DiagTop,DiagBot,U1X1_Level,U1X1_React,U1X1_TouchTime,U1X1_TP1_Hit,U1X1_TP1_Time,U1X1_TP2_Hit,U1X1_TP2_Time,U1X1_TP3_Hit,U1X1_TP3_Time,U1X1_MaxTP,U1X1_Dur,U1X1_Session,U1X1_X2_React,U1X1_X2_Time,U1X1_X3_React,U1X1_X3_Time,U2X1_Level,U2X1_React,U2X1_TouchTime,U2X1_TP1_Hit,U2X1_TP1_Time,U2X1_TP2_Hit,U2X1_TP2_Time,U2X1_TP3_Hit,U2X1_TP3_Time,U2X1_MaxTP,U2X1_Dur,U2X1_Session,U2X1_X2_React,U2X1_X2_Time,U2X1_X3_React,U2X1_X3_Time,DLX1_Level,DLX1_React,DLX1_TouchTime,DLX1_TP1_Hit,DLX1_TP1_Time,DLX1_TP2_Hit,DLX1_TP2_Time,DLX1_TP3_Hit,DLX1_TP3_Time,DLX1_MaxTP,DLX1_Dur,DLX1_Session,DLX1_X2_React,DLX1_X2_Time,DLX1_X3_React,DLX1_X3_Time,DRX1_Level,DRX1_React,DRX1_TouchTime,DRX1_TP1_Hit,DRX1_TP1_Time,DRX1_TP2_Hit,DRX1_TP2_Time,DRX1_TP3_Hit,DRX1_TP3_Time,DRX1_MaxTP,DRX1_Dur,DRX1_Session,DRX1_X2_React,DRX1_X2_Time,DRX1_X3_React,DRX1_X3_Time,Left_1,Left_2,Left_3,Left_4,Left_5,Left_6,Left_7,Left_8,Left_9,Left_10,Right_1,Right_2,Right_3,Right_4,Right_5,Right_6,Right_7,Right_8,Right_9,Right_10
1,2003.08.20 00:00,USDJPY,60,86400,SELL,ZH,1,119.910,119.190,720.0,119.840,118.220,1620.0,225.000,9.72,650.0,169.9,119.840,119.190,117.570,BREAK,2003.08.21 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.08.29 13:00,BOUNCE,2003.08.29 22:00,120.560,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,118.540,BREAK,2003.08.20 00:00,0,,0,,0,,0,NA,Asia,BREAK,2003.08.21 15:00,BOUNCE,2003.08.27 15:00,120.490,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,,,,,,,,,,,S-ZB-BO,S-ZC-BR,S-ZG-BR,B-ZG-UN,B-ZG-UN,S-ZC-BR,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO
2,2003.08.21 00:00,USDJPY,60,86400,SELL,ZB,1,119.840,118.220,1620.0,118.830,117.820,1010.0,62.346,62.35,610.0,382.3,118.830,118.220,117.210,BOUNCE,2003.08.25 15:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,120.450,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,117.610,BREAK,2003.08.21 18:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.08.29 13:00,BOUNCE,2003.08.29 23:00,119.440,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZH-BR,,,,,,,,,,S-ZC-BR,S-ZG-BR,B-ZG-UN,B-ZG-UN,S-ZC-BR,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR
3,2003.08.22 00:00,USDJPY,60,86400,SELL,ZC,1,118.830,117.820,1010.0,118.280,117.540,740.0,73.267,54.46,460.0,238.4,118.280,117.820,117.080,BREAK,2003.08.29 03:00,0,,0,,0,,0,NA,Asia,BREAK,2003.08.29 15:00,BOUNCE,2003.08.29 17:00,119.290,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,117.360,BOUNCE,2003.08.22 18:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,118.740,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZB-BO,S-ZH-BR,,,,,,,,,S-ZG-BR,B-ZG-UN,B-ZG-UN,S-ZC-BR,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR
4,2003.08.23 00:00,USDJPY,60,86400,SELL,ZG,0,118.280,117.540,740.0,118.110,117.300,810.0,109.459,22.97,570.0,174.6,118.110,117.540,116.730,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2003.08.29 17:00,NA,,118.850,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.970,BREAK,2003.08.29 11:00,0,,0,,0,,0,NA,London,BREAK,2003.08.29 15:00,BOUNCE,2003.09.02 23:00,118.680,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZC-BR,S-ZB-BO,S-ZH-BR,,,,,,,,B-ZG-UN,B-ZG-UN,S-ZC-BR,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO
5,2003.08.27 00:00,USDJPY,60,86400,BUY,ZG,0,117.710,117.150,560.0,117.840,117.180,660.0,117.857,5.36,530.0,132.2,117.710,117.180,118.370,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.620,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.09.02 19:00,BREAK,2003.09.18 14:00,118.240,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.650,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.09.02 19:00,BREAK,2003.09.18 14:00,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,,,,,,,B-ZG-UN,S-ZC-BR,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR
6,2003.08.28 00:00,USDJPY,60,86400,BUY,ZG,0,117.840,117.180,660.0,118.030,117.300,730.0,110.606,18.18,540.0,155.8,117.840,117.300,118.570,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.640,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.09.02 19:00,BREAK,2003.09.18 14:00,118.380,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.760,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2003.08.29 18:00,NA,,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,,,,,,S-ZC-BR,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR
7,2003.08.29 00:00,USDJPY,60,86400,SELL,ZC,1,118.030,117.300,730.0,117.680,117.210,470.0,64.384,47.95,380.0,172.3,117.680,117.300,116.830,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.08.29 15:00,BREAK,2003.09.02 19:00,118.410,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.920,BREAK,2003.08.29 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.08.29 15:00,BOUNCE,2003.08.29 16:00,118.060,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,,,,,S-ZB-BO,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN
8,2003.08.30 00:00,USDJPY,60,86400,SELL,ZB,1,117.680,117.210,470.0,117.440,116.140,1300.0,276.596,51.06,230.0,110.9,117.440,117.210,115.910,BOUNCE,2003.09.02 19:00,1,2003.09.02 21:00,1,2003.09.08 01:00,0,,2,5d 6h,NewYork,NA,,NA,,117.910,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.980,BREAK,2003.08.30 00:00,0,,0,,0,,0,NA,Asia,BREAK,2003.09.01 01:00,BOUNCE,2003.09.01 06:00,117.670,BOUNCE,2003.09.08 01:00,1,2003.09.08 12:00,1,2003.09.08 12:00,0,,2,11h,Asia,NA,,NA,,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,,,,B-ZC-UN,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR
9,2003.09.06 00:00,USDJPY,60,86400,BUY,ZC,1,117.110,115.750,1360.0,117.180,116.420,760.0,55.882,49.26,690.0,321.0,117.110,116.420,117.870,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,115.060,BREAK,2003.09.18 15:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.09.19 17:00,BREAK,2003.09.22 01:00,117.800,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,115.730,BREAK,2003.09.18 10:00,0,,0,,0,,0,NA,London,BREAK,2003.09.18 16:00,BOUNCE,2003.09.19 15:00,S-ZB-BO,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,,,S-ZE-BR,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR,S-ZO-BR
10,2003.09.10 00:00,USDJPY,60,86400,SELL,ZE,1,117.750,116.310,1440.0,116.970,116.080,890.0,61.806,54.17,660.0,339.8,116.970,116.310,115.420,BREAK,2003.09.18 14:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2003.09.18 17:00,NA,,118.410,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,115.650,BREAK,2003.09.18 13:00,0,,0,,0,,0,NA,NewYork,BREAK,2003.09.19 15:00,BREAK,2003.09.19 17:00,117.630,BOUNCE,2003.09.15 11:00,1,2003.09.18 13:00,1,2003.09.18 13:00,0,,2,3d 2h,London,NA,,NA,,B-ZC-UN,S-ZB-BO,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,,B-ZD-BO,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR,S-ZO-BR,S-ZF-BO
11,2003.09.11 00:00,USDJPY,60,86400,BUY,ZD,1,116.970,116.080,890.0,117.330,116.630,700.0,78.652,61.80,340.0,210.0,116.970,116.630,117.670,BOUNCE,2003.09.15 12:00,1,2003.09.16 08:00,1,2003.09.16 13:00,1,2003.09.18 10:00,3,2d 22h,London,NA,,NA,,115.740,BREAK,2003.09.18 10:00,0,,0,,0,,0,NA,London,BREAK,2003.09.18 15:00,BREAK,2003.09.18 16:00,117.310,BOUNCE,2003.09.11 04:00,1,2003.09.16 13:00,1,2003.09.18 10:00,0,,2,1w 0d,Asia,NA,,NA,,116.290,BREAK,2003.09.16 13:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2003.09.17 18:00,NA,,S-ZE-BR,B-ZC-UN,S-ZB-BO,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZH-BR,S-ZB-BR,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR,S-ZO-BR,S-ZF-BO,S-ZB-BR
12,2003.09.17 00:00,USDJPY,60,86400,SELL,ZB,1,117.710,117.210,500.0,117.520,116.030,1490.0,298.000,38.00,310.0,118.0,117.520,117.210,115.720,BREAK,2003.09.18 10:00,0,,0,,0,,0,NA,London,BREAK,2003.09.18 15:00,BREAK,2003.09.18 16:00,118.020,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,116.900,BREAK,2003.09.17 00:00,0,,0,,0,,0,NA,Asia,BREAK,2003.09.17 01:00,BREAK,2003.09.17 02:00,117.830,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,B-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZB-BO,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZD-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR,S-ZO-BR,S-ZF-BO,S-ZB-BR,S-ZF-BO
13,2003.09.18 00:00,USDJPY,60,86400,SELL,ZD,1,117.520,116.030,1490.0,116.540,115.840,700.0,46.980,65.77,510.0,351.6,116.540,116.030,115.330,BREAK,2003.09.18 14:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2003.09.18 17:00,NA,,118.030,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,115.520,BREAK,2003.09.18 14:00,0,,0,,0,,0,NA,NewYork,BOUNCE,2003.09.19 04:00,NA,,117.050,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZB-BR,B-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZB-BO,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZC-BR,S-ZB-BO,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR,S-ZO-BR,S-ZF-BO,S-ZB-BR,S-ZF-BO,B-ZE-BR
14,2003.09.19 00:00,USDJPY,60,86400,SELL,ZB,1,116.540,115.840,700.0,116.240,114.700,1540.0,220.000,42.86,400.0,165.2,116.240,115.840,114.300,BOUNCE,2003.09.19 15:00,0,,0,,0,,0,NA,NewYork,NA,,NA,,116.940,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,115.440,BREAK,2003.09.19 00:00,0,,0,,0,,0,NA,Asia,BOUNCE,2003.09.19 13:00,NA,,116.640,UNTOUCHED,,0,,0,,0,,0,NA,Other,NA,,NA,,S-ZD-BR,S-ZB-BR,B-ZD-BO,S-ZE-BR,B-ZC-UN,S-ZB-BO,S-ZC-BR,B-ZG-UN,B-ZG-UN,S-ZG-BR,S-ZB-BR,S-ZG-BR,B-ZO-UN,S-ZG-BR,S-ZO-BR,S-ZF-BO,S-ZB-BR,S-ZF-BO,B-ZE-BR,B-ZD-BR
